t, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7, x, y
1486636456.5982313, -70, 22, 9, -17, 14, -97, -248, -60, 50, 1390
1486636456.5982497, -56, -1, 27, -1, 243, -109, -294, -70, 50, 1390
1486636456.5985782, 72, -35, 25, 16, 453, -119, -327, 68, 50, 1390
1486636456.5986156, 119, -22, 32, 14, 415, -133, -350, -80, 50, 1390
1486636456.5986366, 34, 14, 23, -7, 171, -145, -371, -100, 50, 1390
1486636456.5986562, -87, 21, 9, -17, 140, -159, -414, -133, 50, 1390
1486636456.5986753, -32, -1, 13, -9, 311, -174, -449, -141, 50, 1390
1486636456.5986938, 86, -20, 31, 16, 570, -166, -456, -125, 50, 1390
1486636456.5987127, 119, -16, 33, 6, 479, -174, -179, -2, 50, 1390
1486636456.5987308, 20, 8, 15, -11, 239, -182, -484, -147, 50, 1390
1486636456.5987492, -95, 20, -7, -21, 241, -178, -487, -142, 50, 1390
1486636456.598772, -27, -12, 18, -9, 435, -173, -497, -70, 50, 1390
1486636456.598791, 96, -35, 21, 26, 627, -162, -497, -112, 50, 1390
1486636456.5988097, 99, -23, 22, 13, 488, -158, -478, -110, 50, 1390
1486636456.5988307, -13, 22, 4, -13, 250, -159, -463, -125, 50, 1390
1486636456.5988495, -99, 16, 10, -16, 254, -171, -481, -135, 50, 1390
1486636456.5988677, -17, -14, 12, -5, 473, -162, -486, -130, 50, 1390
1486636456.5988865, 108, -32, 28, 17, 622, -155, -479, -112, 50, 1390
1486636456.5989058, 103, -16, 33, 6, 479, -174, -472, -129, 50, 1390
1486636456.5989254, -95, 14, 16, -14, 246, -157, -467, -139, 50, 1390
1486636456.5989478, 0, -6, 26, 3, 503, -150, -463, -113, 50, 1390
1486636456.598967, 114, -29, 39, 15, 628, -143, -455, -99, 50, 1390
1486636456.5989852, 83, 0, 21, -5, 450, -143, -443, -107, 50, 1390
1486636456.5990036, 212, -23, 22, 13, 488, -158, -478, -110, 50, 1390
1486636456.599022, -82, 11, 4, -18, 270, -150, -446, -126, 50, 1390
1486636456.6019664, 2, -21, 21, 5, 534, -141, -452, -106, 50, 1390
1486636456.6020038, 122, -29, 36, 16, 333, -162, -486, -130, 50, 1390
1486636456.602028, 66, -4, 21, -5, 410, -145, -435, -107, 50, 1390
1486636456.6020489, -56, 25, 11, -25, 176, -144, -428, -126, 50, 1390
1486636456.6020687, -81, 13, 13, -14, 320, -144, -467, -139, 50, 1390
1486636456.6020877, 10, -20, 22, 7, 549, -137, -439, -111, 50, 1390
1486636456.6021066, 133, -27, 35, 7, 574, -139, -441, -110, 50, 1390
1486636456.6021557, 60, 2, 21, -2, 387, -145, -433, -121, 50, 1390
1486636456.602176, -64, 20, 8, -24, 179, -145, -428, -129, 50, 1390
1486636456.602195, -71, 10, 6, -20, 325, -144, -440, -127, 50, 1390
